Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte.peak.area,Internal.standard.peak.area,Sample mass
NIA water spike 6,Spike,Field,Water,NIA,PFNA,2.81E+06,2.19E+05,1
Group D-NIA-BIO-SUNFISH Blank-2X,Blank,Blender,Biota,NIA,PFNA,0.00E+00,5.37E+05,1
Group D-NIA-BIO-Motor Blank-2X,Blank,Pestle,Biota,NIA,PFNA,0.00E+00,5.85E+05,1
Group D-NIA-BIO-Spike-2X,Spike,Blender,Biota,NIA,PFNA,1.18E+06,5.92E+05,1
Group D-NIA-BIO-Crafish 20X,Sample,Pestle,Biota,NIA,PFNA,3.28E+04,5.62E+05,1.203
Group D-NIA-BIO-Lady Bug 20X,Sample,Pestle,Biota,NIA,PFNA,0.00E+00,5.86E+05,0.0305
Group D-NIA-BIO-Sunfish R1 20X,Sample,Blender,Biota,NIA,PFNA,1.30E+04,5.38E+05,0.9744
Group D-NIA-BIO-Sunfish R2 20X,Sample,Blender,Biota,NIA,PFNA,1.79E+04,5.06E+05,0.1095
Group D-NIA-BIO-Nymphs 20X,Sample,Pestle,Biota,NIA,PFNA,5.46E+03,5.51E+05,0.1419
Group D-NIA SUNFISH K1 2X,Sample,Blender,Biota,NIA,PFNA,6.70E+04,3.03E+05,0.1095
GROUP D-NIA CRAYFISH 2X ,Sample,Pestle,Biota,NIA,PFNA,1.29E+05,2.51E+05,1.203
Group D-NIA SUNFISH R2 2X,Sample,Blender,Biota,NIA,PFNA,6.51E+04,1.97E+05,0.1095
Group D-NIA NYMPTH 2X,Sample,Homogenizer,Biota,NIA,PFNA,2.31E+04,3.02E+05,0.1419
Group D-NIA LADY BUG 2X,Sample,Pestle,Biota,NIA,PFNA,0.00E+00,2.43E+05,0.0305
Group E-NIA-BIO-SHRIMP Blank 2x,Blank,Blender,Biota,NIA,PFNA,0.00E+00,5.06E+05,1
Group E-NIA-BIO-Blender Blank 2x,Blank,Blender,Biota,NIA,PFNA,0.00E+00,6.07E+05,1
Group E-NIA-BIO-Motor Blank 2x,Blank,Pestle,Biota,NIA,PFNA,0.00E+00,4.99E+05,1
Group E-NIA-BIO-Spike 2x,Spike,Pestle,Biota,NIA,PFNA,8.00E+05,3.52E+05,1
Group E-NIA-BIO-DRAGON 20x,Sample,Pestle,Biota,NIA,PFNA,8.06E+03,1.15E+06,0.5559
Group E-NIA-BIO-SHRIMP 1 R1 20x,Sample,Homogenizer,Biota,NIA,PFNA,6.17E+04,9.66E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 20x,Sample,Homogenizer,Biota,NIA,PFNA,1.04E+04,7.36E+05,0.99
Group E-NIA-BIO-CATFISH 20x,Sample,Blender,Biota,NIA,PFNA,8.22E+03,3.29E+05,1.219
Group E-NIA-BIO-SHRIMP 1 R1 2x,Sample,Homogenizer,Biota,NIA,PFNA,2.53E+05,6.01E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 2x,Sample,Homogenizer,Biota,NIA,PFNA,2.87E+05,3.68E+05,0.99
Group E-NIA-BIO-DRAGON 2x,Sample,Pestle,Biota,NIA,PFNA,1.29E+05,3.54E+05,0.5559
Group E-NIA-BIO-CATFISH 2x,Sample,Blender,Biota,NIA,PFNA,7.94E+04,3.55E+05,1.219
Group F-NIA-BIO-bugs blank 2X,Blank,Pestle,Biota,NIA,PFNA,0.00E+00,3.37E+05,1
Group F-NIA-BIO-sunfish blank 2X,Blank,Blender,Biota,NIA,PFNA,0.00E+00,3.18E+05,1
Group F-NIA-BIO-shrimp blank 2X,Blank,Homogenizer,Biota,NIA,PFNA,0.00E+00,3.64E+05,1
Group F-NIA-BIO-spike 2X,Spike,Homogenizer,Biota,NIA,PFNA,1.28E+06,5.06E+05,1
Group F-NIA-BIO-bugs 20X,Sample,Pestle,Biota,NIA,PFNA,1.82E+04,6.17E+05,0.158
Group F-NIA-BIO-sunfish 20X,Sample,Blender,Biota,NIA,PFNA,1.80E+04,5.38E+05,1.2087
Group F-NIA-BIO-shrimp 20X,Sample,Homogenizer,Biota,NIA,PFNA,6.33E+04,8.09E+05,1.05
Group F-NIA-BIO-grass hopper 20X,Sample,Pestle,Biota,NIA,PFNA,3.19E+03,7.82E+05,0.271
Group F-NIA SUNFISH 2X,Sample,Blender,Biota,NIA,PFNA,4.73E+04,1.62E+05,1.2087
Group F-NIA SHRIMP 2X,Sample,Homogenizer,Biota,NIA,PFNA,1.18E+05,1.36E+05,1.05
Group F-NIA GRASSHOPPER 2X,Sample,Pestle,Biota,NIA,PFNA,0.00E+00,1.62E+05,0.271
Group F-NIA BUGS 2X,Sample,Pestle,Biota,NIA,PFNA,0.00E+00,1.36E+05,0.158
Group F-NIA-SED- lab blank 2X,Blank,Lab,Sediment,NIA,PFNA,0.00E+00,2.54E+05,1
Group F-NIA-SED- field blank 2X,Blank,Field,Sediment,NIA,PFNA,0.00E+00,2.96E+05,1
Group F-NIA-SED- spike 2X,Spike,Field,Sediment,NIA,PFNA,1.05E+06,3.29E+05,1
Group F-NIA-SED-R1 20X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.34E+05,1.0847
Group F-NIA-SED-R2 20X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.72E+05,0.9392
Group F-NIA-SED-R3 20X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.14E+05,1.0715
Group F-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,1.42E+05,1.0847
Group F-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,1.32E+05,0.9392
Group F-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFNA,0.00E+00,1.27E+05,1.0715
Group D-NIA-SED-Field Blank 2X,Blank,Lab,Sediment,NIA,PFNA,1.52E+04,6.08E+05,1
Group D-NIA-SED-Lab Blank 2X,Blank,Field,Sediment,NIA,PFNA,6.21E+03,7.02E+05,1
Group D-NIA-SED-Spike 2X,Spike,Field,Sediment,NIA,PFNA,5.12E+05,1.63E+05,1
Group D-NIA-SED-Sample 1 20X,Sample,Field,Sediment,NIA,PFNA,1.15E+04,6.14E+05,1.0124
Group D-NIA-SED-Sample 2 20X,Sample,Field,Sediment,NIA,PFNA,5.29E+03,4.52E+05,1.0011
Group D-NIA-SED-Sample 3 20X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,4.96E+05,1.0075
Group D-NIA SED1 2X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,2.02E+05,1.0124
Group D-NIA SED2 2X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,1.88E+05,1.0011
Group D-NIA SED3 2X,Sample,Field,Sediment,NIA,PFNA,0.00E+00,1.76E+05,1.0075
Group E-NIA-SED Field Blank 2x,Blank,Lab,Sediment,NIA,PFNA,6.05E+03,6.12E+05,1
Group E-NIA-SED Lab Blank 2x,Blank,Field,Sediment,NIA,PFNA,0.00E+00,5.75E+05,1
Group E-NIA-SED Spike 2x,Spike,Field,Sediment,NIA,PFNA,3.59E+06,1.15E+06,1
Group E-NIA-SED R1 20x,Sample,Field,Sediment,NIA,PFNA,1.25E+04,6.73E+05,1.0274
Group E-NIA-SED R2 20x,Sample,Field,Sediment,NIA,PFNA,1.36E+04,6.62E+05,1.0543
Group E-NIA-SED R3 20x,Sample,Field,Sediment,NIA,PFNA,1.29E+04,8.37E+05,1.0243
Group E-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFNA,5.05E+04,2.88E+05,1.0274
Group E-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFNA,4.25E+04,2.22E+05,1.0543
Group E-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFNA,3.10E+04,2.57E+05,1.0243
0 ng/mL,Calibration curve,A,N/A,N/A,PFDA,0.00E+00,2.61E+05,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFDA,3.32E+04,3.47E+05,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFDA,6.83E+04,3.83E+05,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFDA,1.74E+05,4.05E+05,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFDA,3.06E+05,4.54E+05,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFDA,9.45E+05,4.30E+05,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFDA,2.22E+06,4.88E+05,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFDA,3.49E+06,4.65E+05,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFDA,6.13E+06,4.75E+05,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFDA,1.17E+07,4.39E+05,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFDA,0.00E+00,1.92E+05,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFDA,1.98E+04,1.86E+05,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFDA,4.17E+04,1.99E+05,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFDA,9.63E+04,1.97E+05,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFDA,1.88E+05,2.31E+05,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFDA,4.91E+05,2.40E+05,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFDA,1.23E+06,2.94E+05,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFDA,1.77E+06,2.76E+05,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFDA,3.85E+06,2.70E+05,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFDA,7.48E+06,2.59E+05,1
20MC water lab blank,Blank,Lab,Water,20MC,PFDA,0.00E+00,4.20E+05,1
20MC water field blank,Blank,Field,Water,20MC,PFDA,0.00E+00,3.94E+05,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFDA,1.09E+04,5.01E+05,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFDA,1.24E+04,4.92E+05,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFDA,8.12E+03,4.89E+05,100
20MC water spike 1,Spike,Field,Water,20MC,PFDA,4.55E+06,4.40E+05,1
20MC water spike 2,Spike,Field,Water,20MC,PFDA,3.76E+06,4.30E+05,1
20MC water spike 3,Spike,Field,Water,20MC,PFDA,3.74E+06,4.03E+05,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFDA,0.00E+00,5.42E+05,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFDA,0.00E+00,6.43E+05,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFDA,5.24E+05,5.79E+05,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFDA,7.33E+05,5.34E+05,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFDA,5.51E+05,3.59E+05,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFDA,1.08E+05,3.52E+05,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFDA,2.84E+04,3.92E+05,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFDA,2.68E+05,3.03E+05,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFDA,2.94E+04,3.12E+05,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFDA,0.00E+00,2.94E+05,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFDA,4.22E+03,4.25E+05,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFDA,1.56E+05,2.19E+05,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFDA,9.57E+04,1.49E+05,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFDA,1.03E+05,1.28E+05,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFDA,1.27E+05,1.22E+05,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFDA,8.57E+04,1.38E+05,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFDA,5.28E+04,1.34E+05,0.7033
20Mc-group C Biota spike,Spike,Pestle,Biota,20MC,PFDA,2.87E+05,1.23E+05,1
20Mc-group B Blender Blank,Blank,Blender,Biota,20MC,PFDA,0.00E+00,1.84E+05,1
20Mc-group B Mortar and Pestle Blank,Blank,Pestle,Biota,20MC,PFDA,0.00E+00,2.03E+05,1
20Mc-group B Homogenizer Blank,Blank,Homogenizer,Biota,20MC,PFDA,0.00E+00,2.22E+05,1
20Mc-group B Nymph,Sample,Homogenizer,Biota,20MC,PFDA,7.92E+03,1.89E+05,0.1089
20Mc-group B Giant Bug 1 ,Sample,Pestle,Biota,20MC,PFDA,1.14E+05,1.68E+05,0.9952
20Mc-group B Giant Bug 2,Sample,Pestle,Biota,20MC,PFDA,8.90E+04,1.04E+05,1.0105
20Mc-group B Catfish,Sample,Blender,Biota,20MC,PFDA,6.90E+04,5.93E+04,1.1823
20Mc-group B Biota Spike ,Spike,Homogenizer,Biota,20MC,PFDA,2.65E+05,8.48E+04,1
20Mc-group B Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFDA,0.00E+00,1.36E+05,1
20Mc-group B Sediment Field Blank,Blank,Field,Sediment,20MC,PFDA,0.00E+00,1.82E+05,1
20Mc-group B Sediment 2 Rep 1,Sample,Field,Sediment,20MC,PFDA,1.79E+04,1.24E+05,0.9918
20Mc-group B Sediment 2 Rep 2,Sample,Field,Sediment,20MC,PFDA,1.67E+04,1.08E+05,1.0064
20Mc-group B Sediment 2 Rep 3 ,Sample,Field,Sediment,20MC,PFDA,1.51E+04,1.01E+05,1.0641
20Mc-group B Sediment Spike,Spike,Lab,Sediment,20MC,PFDA,4.81E+05,1.30E+05,1
20MC Group A sed  Field blank,Blank,Lab,Sediment,20MC,PFDA,0.00E+00,2.88E+05,1
20MC Group A sed Lab blank,Blank,Field,Sediment,20MC,PFDA,0.00E+00,2.99E+05,1
20MC Group A sed R1,Sample,Field,Sediment,20MC,PFDA,7.80E+04,1.70E+05,1
20MC Group A sed R2,Sample,Field,Sediment,20MC,PFDA,4.39E+04,1.74E+05,0.9922
20MC Group A sed R3,Sample,Field,Sediment,20MC,PFDA,3.94E+04,1.55E+05,1.0233
20MC Group A sed spike,Spike,Lab,Sediment,20MC,PFDA,9.25E+05,2.84E+05,1
20Mc-group  C Sed Field Blank,Blank,Lab,Sediment,20MC,PFDA,0.00E+00,2.29E+05,1
20Mc-group C Sed Lab Blank,Blank,Field,Sediment,20MC,PFDA,0.00E+00,2.74E+05,1
20Mc-group C Sed 3-1,Sample,Field,Sediment,20MC,PFDA,2.48E+04,2.17E+05,0.8309
20Mc-group C Sed 3-2,Sample,Field,Sediment,20MC,PFDA,3.19E+04,1.70E+05,0.9147
20Mc-group C Sed 3-3,Sample,Field,Sediment,20MC,PFDA,2.04E+04,1.84E+05,1.0055
20Mc-group C Sed Spike,Spike,Lab,Sediment,20MC,PFDA,1.04E+06,2.26E+05,1
NIA water lab blank,Blank,Lab,Water,NIA,PFDA,1.54E+04,1.59E+05,1
NIA water field blank,Blank,Field,Water,NIA,PFDA,0.00E+00,1.76E+05,1
NIA water sample 2,Sample,Field,Water,NIA,PFDA,5.21E+03,1.72E+05,1
NIA water sample 4,Sample,Field,Water,NIA,PFDA,6.68E+03,2.03E+05,1
NIA water sample 5,Sample,Field,Water,NIA,PFDA,6.66E+03,1.86E+05,1
NIA water spike 4,Spike,Field,Water,NIA,PFDA,1.28E+06,1.69E+05,1
NIA water spike 5,Spike,Field,Water,NIA,PFDA,1.03E+06,1.54E+05,1
NIA water spike 6,Spike,Field,Water,NIA,PFDA,2.22E+06,1.79E+05,1
Group D-NIA-BIO-SUNFISH Blank-2X,Blank,Blender,Biota,NIA,PFDA,2.14E+03,4.17E+05,1
Group D-NIA-BIO-Motor Blank-2X,Blank,Pestle,Biota,NIA,PFDA,3.32E+03,4.43E+05,1
Group D-NIA-BIO-Spike-2X,Spike,Blender,Biota,NIA,PFDA,9.52E+05,4.36E+05,1
Group D-NIA-BIO-Crafish 20X,Sample,Pestle,Biota,NIA,PFDA,8.86E+03,3.85E+05,1.203
Group D-NIA-BIO-Lady Bug 20X,Sample,Pestle,Biota,NIA,PFDA,0.00E+00,3.59E+05,0.0305
Group D-NIA-BIO-Sunfish R1 20X,Sample,Blender,Biota,NIA,PFDA,1.41E+04,4.46E+05,0.9744
Group D-NIA-BIO-Sunfish R2 20X,Sample,Blender,Biota,NIA,PFDA,2.04E+04,4.25E+05,0.1095
Group D-NIA-BIO-Nymphs 20X,Sample,Pestle,Biota,NIA,PFDA,3.69E+03,3.92E+05,0.1419
Group D-NIA SUNFISH K1 2X,Sample,Blender,Biota,NIA,PFDA,6.06E+04,2.16E+05,0.1095
GROUP D-NIA CRAYFISH 2X ,Sample,Pestle,Biota,NIA,PFDA,2.53E+04,1.52E+05,1.203
Group D-NIA SUNFISH R2 2X,Sample,Blender,Biota,NIA,PFDA,7.86E+04,1.52E+05,0.1095
Group D-NIA NYMPTH 2X,Sample,Homogenizer,Biota,NIA,PFDA,8.04E+03,2.02E+05,0.1419
Group D-NIA LADY BUG 2X,Sample,Pestle,Biota,NIA,PFDA,0.00E+00,1.78E+05,0.0305
Group E-NIA-BIO-SHRIMP Blank 2x,Blank,Blender,Biota,NIA,PFDA,3.18E+03,4.01E+05,1
Group E-NIA-BIO-Blender Blank 2x,Blank,Blender,Biota,NIA,PFDA,0.00E+00,4.13E+05,1
Group E-NIA-BIO-Motor Blank 2x,Blank,Pestle,Biota,NIA,PFDA,0.00E+00,3.69E+05,1
Group E-NIA-BIO-Spike 2x,Spike,Pestle,Biota,NIA,PFDA,5.83E+05,2.15E+05,1
Group E-NIA-BIO-DRAGON 20x,Sample,Pestle,Biota,NIA,PFDA,7.84E+03,9.47E+05,0.5559
Group E-NIA-BIO-SHRIMP 1 R1 20x,Sample,Homogenizer,Biota,NIA,PFDA,2.34E+04,8.63E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 20x,Sample,Homogenizer,Biota,NIA,PFDA,8.08E+03,8.27E+05,0.99
Group E-NIA-BIO-CATFISH 20x,Sample,Blender,Biota,NIA,PFDA,1.19E+04,1.86E+05,1.219
Group E-NIA-BIO-SHRIMP 1 R1 2x,Sample,Homogenizer,Biota,NIA,PFDA,5.09E+04,3.98E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 2x,Sample,Homogenizer,Biota,NIA,PFDA,5.83E+04,2.72E+05,0.99
Group E-NIA-BIO-DRAGON 2x,Sample,Pestle,Biota,NIA,PFDA,3.37E+04,2.25E+05,0.5559
Group E-NIA-BIO-CATFISH 2x,Sample,Blender,Biota,NIA,PFDA,1.51E+05,2.79E+05,1.219
Group F-NIA-BIO-bugs blank 2X,Blank,Pestle,Biota,NIA,PFDA,0.00E+00,2.07E+05,1
Group F-NIA-BIO-sunfish blank 2X,Blank,Blender,Biota,NIA,PFDA,0.00E+00,2.28E+05,1
Group F-NIA-BIO-shrimp blank 2X,Blank,Homogenizer,Biota,NIA,PFDA,0.00E+00,2.22E+05,1
Group F-NIA-BIO-spike 2X,Spike,Homogenizer,Biota,NIA,PFDA,1.09E+06,3.94E+05,1
Group F-NIA-BIO-bugs 20X,Sample,Pestle,Biota,NIA,PFDA,2.83E+04,6.87E+05,0.158
Group F-NIA-BIO-sunfish 20X,Sample,Blender,Biota,NIA,PFDA,3.44E+04,5.74E+05,1.2087
Group F-NIA-BIO-shrimp 20X,Sample,Homogenizer,Biota,NIA,PFDA,2.10E+04,6.09E+05,1.05
Group F-NIA-BIO-grass hopper 20X,Sample,Pestle,Biota,NIA,PFDA,2.57E+03,5.85E+05,0.271
Group F-NIA SUNFISH 2X,Sample,Blender,Biota,NIA,PFDA,7.21E+04,1.41E+05,1.2087
Group F-NIA SHRIMP 2X,Sample,Homogenizer,Biota,NIA,PFDA,2.90E+04,8.19E+04,1.05
Group F-NIA GRASSHOPPER 2X,Sample,Pestle,Biota,NIA,PFDA,0.00E+00,1.10E+05,0.271
Group F-NIA BUGS 2X,Sample,Pestle,Biota,NIA,PFDA,0.00E+00,9.34E+04,0.158
Group F-NIA-SED- lab blank 2X,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,2.14E+05,1
Group F-NIA-SED- field blank 2X,Blank,Field,Sediment,NIA,PFDA,0.00E+00,2.48E+05,1
Group F-NIA-SED- spike 2X,Spike,Field,Sediment,NIA,PFDA,9.55E+05,2.69E+05,1
Group F-NIA-SED-R1 20X,Sample,Field,Sediment,NIA,PFDA,0.00E+00,2.27E+05,1.0847
Group F-NIA-SED-R2 20X,Sample,Field,Sediment,NIA,PFDA,0.00E+00,2.55E+05,0.9392
Group F-NIA-SED-R3 20X,Sample,Field,Sediment,NIA,PFDA,0.00E+00,2.41E+05,1.0715
Group F-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFDA,0.00E+00,7.02E+04,1.0847
Group F-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFDA,0.00E+00,7.54E+04,0.9392
Group F-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFDA,0.00E+00,7.97E+04,1.0715
Group D-NIA-SED-Field Blank 2X,Blank,Lab,Sediment,NIA,PFDA,4.32E+04,6.61E+05,1
Group D-NIA-SED-Lab Blank 2X,Blank,Field,Sediment,NIA,PFDA,6.98E+03,5.80E+05,1
Group D-NIA-SED-Spike 2X,Spike,Field,Sediment,NIA,PFDA,1.40E+06,5.24E+05,1
Group D-NIA-SED-Sample 1 20X,Sample,Field,Sediment,NIA,PFDA,1.01E+04,4.44E+05,1.0124
Group D-NIA-SED-Sample 2 20X,Sample,Field,Sediment,NIA,PFDA,6.00E+03,4.98E+05,1.0011
Group D-NIA-SED-Sample 3 20X,Sample,Field,Sediment,NIA,PFDA,3.62E+03,4.80E+05,1.0075
Group D-NIA SED1 2X,Sample,Field,Sediment,NIA,PFDA,1.45E+04,1.41E+05,1.0124
Group D-NIA SED2 2X,Sample,Field,Sediment,NIA,PFDA,1.88E+04,1.41E+05,1.0011
Group D-NIA SED3 2X,Sample,Field,Sediment,NIA,PFDA,1.14E+04,1.36E+05,1.0075
Group E-NIA-SED Field Blank 2x,Blank,Lab,Sediment,NIA,PFDA,9.78E+03,4.93E+05,1
Group E-NIA-SED Lab Blank 2x,Blank,Field,Sediment,NIA,PFDA,1.68E+03,4.25E+05,1
Group E-NIA-SED Spike 2x,Spike,Field,Sediment,NIA,PFDA,2.69E+06,8.47E+05,1
Group E-NIA-SED R1 20x,Sample,Field,Sediment,NIA,PFDA,0.00E+00,4.95E+05,1.0274
Group E-NIA-SED R2 20x,Sample,Field,Sediment,NIA,PFDA,0.00E+00,5.75E+05,1.0543
Group E-NIA-SED R3 20x,Sample,Field,Sediment,NIA,PFDA,1.44E+04,6.56E+05,1.0243
Group E-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFDA,4.58E+04,2.06E+05,1.0274
Group E-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFDA,5.20E+04,1.75E+05,1.0543
Group E-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFDA,1.81E+04,1.11E+05,1.0243
0 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,0.00E+00,2.02E+04,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,2.73E+03,2.97E+04,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,5.74E+03,2.75E+04,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,1.52E+04,2.96E+04,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,2.32E+04,3.03E+04,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,6.35E+04,3.03E+04,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,1.72E+05,2.84E+04,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,2.88E+05,2.93E+04,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,4.81E+05,2.74E+04,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFHxS,1.10E+06,2.37E+04,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,0.00E+00,1.01E+04,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,0.00E+00,1.14E+04,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,0.00E+00,1.08E+04,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,5.09E+03,1.07E+04,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,1.17E+04,1.35E+04,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,2.51E+04,1.24E+04,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,6.37E+04,1.19E+04,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,1.00E+05,1.08E+04,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,2.07E+05,1.03E+04,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFHxS,5.14E+05,1.05E+04,1
20MC water lab blank,Blank,Lab,Water,20MC,PFHxS,0.00E+00,2.74E+04,1
20MC water field blank,Blank,Field,Water,20MC,PFHxS,0.00E+00,2.85E+04,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFHxS,0.00E+00,3.01E+04,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFHxS,0.00E+00,3.04E+04,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFHxS,0.00E+00,2.80E+04,100
20MC water spike 1,Spike,Field,Water,20MC,PFHxS,3.77E+05,2.33E+04,1
20MC water spike 2,Spike,Field,Water,20MC,PFHxS,3.18E+05,2.52E+04,1
20MC water spike 3,Spike,Field,Water,20MC,PFHxS,3.12E+05,2.23E+04,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFHxS,0.00E+00,3.16E+04,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFHxS,0.00E+00,2.72E+04,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,2.55E+04,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,2.86E+04,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,2.18E+04,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,1.96E+04,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,2.02E+04,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFHxS,5.78E+04,1.02E+04,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,1.66E+04,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFHxS,0.00E+00,1.52E+04,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFHxS,1.16E+03,2.19E+04,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,9.43E+03,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,4.80E+03,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,6.55E+03,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,6.35E+03,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,7.03E+03,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,5.54E+03,0.7033
