Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
NIA-W-spike 2,Spike,Field,Water,NIA,PFHxS,6.37E+04,2.55,3.55E+03,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFHxS,7.14E+03,2.51,4.66E+03,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFHxS,6.73E+03,2.51,4.19E+03,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFHxS,5.08E+03,2.54,2.21E+03,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFHxS,0.00E+00,0,3.58E+02,1
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFHxS,0.00E+00,0,4.04E+02,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFHxS,0.00E+00,0,3.28E+02,1.0155
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFHxS,0.00E+00,0,3.23E+02,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFHxS,0.00E+00,0,2.08E+02,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFHxS,6.08E+02,2.55,1.49E+02,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFHxS,0.00E+00,0,4.99E+02,1
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFHxS,0.00E+00,0,1.93E+02,1
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFHxS,0.00E+00,0,3.25E+02,1
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,2.69E+02,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,6.36E+02,0.7424
20MC-B-GB-lab blank,Blank,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,2.17E+02,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFHxS,2.85E+03,2.51,8.25E+02,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,4.98E+02,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,1.70E+02,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,1.94E+02,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,4.37E+01,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFHxS,7.76E+01,2.52,2.65E+02,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFHxS,0.00E+00,0,1.07E+02,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFHxS,0.00E+00,0,4.80E+01,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,6.73E+01,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFHxS,6.60E+01,2.58,1.88E+02,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFHxS,8.39E+01,2.59,2.66E+02,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFHxS,0.00E+00,0,2.70E+02,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFHxS,0.00E+00,0,1.27E+01,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFHxS,0.00E+00,0,7.84E+02,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFHxS,2.07E+03,2.49,2.48E+02,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFHxS,1.07E+02,2.55,2.54E+01,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFHxS,0.00E+00,0,1.45E+02,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFHxS,0.00E+00,0,1.56E+02,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,1.31E+02,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,5.19E+01,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,0.00E+00,0,8.95E+02,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,7.95E+01,2.54,7.00E+02,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,5.57E+02,2.5,8.17E+02,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,1.35E+03,2.54,1.17E+03,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,2.43E+03,2.52,1.19E+03,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,3.90E+03,2.54,1.28E+03,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,1.22E+04,2.51,1.19E+03,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,2.25E+04,2.54,9.70E+02,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,3.58E+04,2.53,4.70E+02,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFHxS,6.66E+04,2.5,3.77E+02,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFHxS,0.00E+00,0,2.29E+02,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFHxS,0.00E+00,0,1.34E+02,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFHxS,6.10E+02,2.56,6.65E+01,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFHxS,5.37E+02,2.54,2.46E+01,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFHxS,3.94E+01,2.58,1.42E+02,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFHxS,0.00E+00,0,1.06E+02,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFHxS,0.00E+00,0,6.67E+01,1
NIA-B-GE- blender blank,Blank,Blender ,Biota,NIA,PFHxS,0.00E+00,0,1.14E+02,1
NIA-B-GE- spike 1,Spike,Blender ,Biota,NIA,PFHxS,2.58E+03,2.54,2.42E+02,1
NIA-B-GE- spike 2,Spike,Homogenizer,Biota,NIA,PFHxS,6.01E+02,2.54,5.80E+01,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFHxS,1.44E+02,2.5,1.66E+02,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFHxS,0.00E+00,0,3.22E+01,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFHxS,0.00E+00,0,2.42E+02,0.7441
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFHxS,0.00E+00,0,6.20E+02,1
NIA-B-GF-spike,Spike,Blender ,Biota,NIA,PFHxS,5.28E+03,2.53,5.48E+02,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFHxS,0.00E+00,0,5.19E+02,1.0505
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFHxS,1.61E+02,2.53,2.42E+01,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFHxS,0.00E+00,0,1.23E+01,0.9781
NIA-B-GF-sunfish 3,Sample,Blender ,Biota,NIA,PFHxS,0.00E+00,0,1.58E+02,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFHxS,0.00E+00,0,3.35E+02,1
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFHxS,0.00E+00,0,1.03E+02,0.51
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFHxS,0.00E+00,0,1.59E+02,1
20MC-W-field blank,Blank,Field,Water,20MC,PFOS,0.00E+00,0,1.78E+04,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFOS,0.00E+00,0,7.04E+03,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFOS,9.78E+04,2.77,1.42E+04,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFOS,1.26E+05,2.78,1.42E+04,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFOS,9.42E+02,2.77,9.02E+03,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFOS,0.00E+00,0,7.55E+03,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFOS,9.09E+02,2.78,8.81E+03,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFOS,0.00E+00,0,1.01E+04,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFOS,0.00E+00,0,5.26E+03,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFOS,3.08E+02,2.77,1.07E+04,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFOS,6.36E+04,2.78,6.95E+03,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFOS,4.14E+04,2.77,3.74E+03,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFOS,1.54E+04,2.77,4.09E+03,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFOS,1.19E+04,2.76,2.77E+03,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFOS,1.23E+04,2.76,2.78E+03,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFOS,0.00E+00,0,3.05E+02,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFOS,2.07E+03,2.74,1.61E+03,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFOS,1.06E+03,2.72,1.90E+03,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFOS,1.15E+03,2.74,1.62E+03,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFOS,0.00E+00,0,2.33E+01,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFOS,1.44E+02,2.77,1.64E+03,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFOS,1.87E+02,2.77,1.27E+03,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFOS,1.29E+03,2.75,3.63E+02,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFOS,0.00E+00,0,1.27E+03,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFOS,1.48E+02,2.75,7.77E+02,1.0831
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFOS,2.04E+02,2.76,6.72E+02,1.0827
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFOS,0.00E+00,0,1.38E+03,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFOS,9.91E+01,2.78,1.69E+03,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFOS,0.00E+00,0,7.02E+01,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFOS,4.67E+03,2.78,1.15E+03,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFOS,1.23E+03,2.74,9.14E+02,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFOS,5.77E+02,2.77,2.78E+02,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFOS,1.07E+03,2.76,8.05E+02,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFOS,0.00E+00,0,5.47E+02,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFOS,2.80E+02,2.77,1.06E+02,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFOS,1.30E+03,2.76,3.16E+02,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFOS,1.98E+03,2.77,2.46E+02,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFOS,2.02E+02,2.74,1.44E+02,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFOS,0.00E+00,0,2.68E+02,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFOS,2.36E+02,2.77,5.87E+02,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFOS,4.86E+01,2.76,2.98E+02,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFOS,0.00E+00,0,1.30E+02,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFOS,0.00E+00,0,6.33E+02,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFOS,2.62E+03,2.74,6.62E+02,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFOS,6.90E+02,2.78,6.59E+02,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFOS,3.85E+02,2.78,4.63E+02,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFOS,1.00E+03,2.78,1.71E+02,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFOS,0.00E+00,0,2.73E+02,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFOS,3.73E+02,2.74,2.41E+02,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFOS,1.64E+03,2.77,2.73E+02,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,0.00E+00,0,5.63E+02,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,9.11E+01,2.77,6.28E+02,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,1.56E+02,2.79,6.55E+02,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,6.08E+02,2.77,7.91E+02,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,1.60E+03,2.74,4.85E+02,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,3.31E+03,2.75,8.19E+02,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,8.26E+03,2.74,6.61E+02,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,1.79E+04,2.77,6.04E+02,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,2.89E+04,2.76,8.31E+02,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFOS,5.82E+04,2.77,1.43E+02,1
NIA-S-GE-lab blank 2,Blank,Lab,Sediment,NIA,PFOS,5.13E+01,2.73,8.27E+01,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFOS,1.04E+02,2.78,1.21E+02,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFOS,7.99E+02,2.74,5.56E+01,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFOS,2.02E+03,2.78,1.32E+02,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFOS,1.04E+02,2.68,6.40E+01,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFOS,1.07E+02,2.74,5.39E+01,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFOS,2.37E+02,2.76,1.00E+02,1
NIA-B-GE- homogen blank,Blank,Homogenizer,Biota,NIA,PFOS,0.00E+00,0,6.09E+02,1
NIA-B-GE- spike 1,Spike,Blender ,Biota,NIA,PFOS,2.71E+03,2.76,3.28E+02,1
NIA-B-GE- spike 2,Spike,Homogenizer,Biota,NIA,PFOS,2.32E+02,2.79,7.64E+01,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFOS,5.80E+03,2.74,3.96E+02,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFOS,9.40E+03,2.74,1.44E+02,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFOS,6.73E+03,2.75,2.13E+02,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFOS,1.36E+02,2.77,7.89E+01,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFOS,1.89E+02,2.79,6.65E+01,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFOS,0.00E+00,0,2.11E+02,0.7441
NIA-B-GF- pestle blank,Blank,Pestle,Biota,NIA,PFOS,0.00E+00,0,4.05E+02,1
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFOS,2.22E+02,2.75,7.03E+02,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFOS,1.97E+03,2.77,2.73E+02,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFOS,4.00E+04,2.77,2.39E+02,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFOS,2.42E+03,2.75,8.02E+01,1.0872
NIA-B-GF-crayfish 3,Sample,Pestle,Biota,NIA,PFOS,1.44E+03,2.76,2.94E+02,1.0251
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFOS,9.38E+04,2.76,9.36E+01,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFOS,6.26E+04,2.77,6.51E+01,0.9781
NIA-B-GF-sunfish 3,Sample,Blender ,Biota,NIA,PFOS,5.71E+04,2.73,2.29E+02,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFOS,0.00E+00,0,1.33E+02,1
NIA-B-GD-spike ,Spike,Lab,Biota,NIA,PFOS,1.29E+03,2.78,5.25E+01,1
NIA-B-GD-shrimp 1,Sample,Homogenizer,Biota,NIA,PFOS,1.15E+04,2.77,1.33E+02,0.8227
NIA-B-GD-shrimp 2,Sample,Homogenizer,Biota,NIA,PFOS,6.17E+03,2.77,1.88E+02,0.5472
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFOS,6.80E+03,2.78,1.19E+02,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFOS,0.00E+00,0,1.73E+02,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFOS,0.00E+00,0,2.94E+02,0.51
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFOS,1.59E+02,2.78,1.44E+02,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFOS,0.00E+00,0,1.28E+02,1
