Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time,Internal standard peak area,Normalization factor
20MC Sed 1 Grp B field blk,Blank,Field,Sediment,20MC,PFOA,3.22E+04,3.18,5.88E+05,1
20MC Sed 1 Grp B rep 1,Sample,Field,Sediment,20MC,PFOA,2.25E+04,3.16,1.14E+05,0.9924
20MC Sed 1 Grp B rep 2,Sample,Field,Sediment,20MC,PFOA,1.66E+04,3.16,9.94E+04,0.9884
20MC Sed 1 Grp B rep 3,Sample,Field,Sediment,20MC,PFOA,2.33E+04,3.15,1.02E+05,1.0116
NIA Sed 2 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFOA,3.38E+04,3.16,4.31E+05,1
NIA Sed 2 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFOA,4.09E+04,3.18,4.71E+05,1
NIA Sed 2 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFOA,6.02E+03,3.17,6.67E+05,1.0192
NIA Sed 2 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFOA,7.88E+03,3.16,6.64E+05,1.0085
NIA Sed 2 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFOA,8.19E+03,3.17,7.65E+05,1.0256
NIA HMBK Grp F 2x dil,Blank,Lab,Sediment,NIA,PFOA,2.04E+04,3.17,7.30E+05,1
NIA BDBK Grp F 2x dil,Blank,Field,Sediment,NIA,PFOA,8.54E+03,3.15,8.59E+05,1
NIA Sed 3 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFOA,5.66E+04,3.15,7.91E+05,1
NIA Sed 3 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFOA,4.90E+04,3.14,8.48E+05,1
NIA Sed 3 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFOA,9.76E+03,3.16,8.53E+05,1
NIA Sed 3 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFOA,1.15E+04,3.16,7.14E+05,1.0103
NIA Sed 3 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFOA,1.08E+04,3.17,1.03E+06,1.0548
NIA Sed 1 Grp E method blk 2x dil,Blank,Lab,Sediment,NIA,PFOA,8.34E+04,3.17,9.92E+05,1
NIA Sed 1 Grp E field blk 2x dil,Blank,Field,Sediment,NIA,PFOA,9.82E+04,3.14,8.26E+05,1
NIA Sed 1 Grp E rep 1 20x dil,Sample,Field,Sediment,NIA,PFOA,8.77E+03,3.17,9.34E+05,1.0081
NIA Sed 1 Grp E rep 2 20x dil,Sample,Field,Sediment,NIA,PFOA,9.77E+03,3.15,9.88E+05,0.9999
NIA Sed 1 Grp E rep 3 20x dil,Sample,Field,Sediment,NIA,PFOA,9.97E+03,3.15,8.82E+05,1.0080
NIA Sed 3 rep 1 2x dil,Sample,Field,Sediment,NIA,PFOA,4.87E+04,3.15,6.02E+05,1
NIA Sed 3 rep 2 2x dil,Sample,Field,Sediment,NIA,PFOA,2.74E+04,3.16,4.43E+05,1.0103
NIA Sed 3 rep 3 2x dil,Sample,Field,Sediment,NIA,PFOA,1.72E+04,3.13,4.07E+05,1.0548
NIA Sed 1 rep 1 2x dil,Sample,Field,Sediment,NIA,PFOA,1.36E+04,3.15,3.68E+05,1.0081
NIA Sed 1 rep 2 2x dil,Sample,Field,Sediment,NIA,PFOA,1.44E+04,3.14,3.63E+05,0.9999
NIA Sed 1 rep 3 2x dil,Sample,Field,Sediment,NIA,PFOA,7.19E+03,3.15,3.18E+05,1.0080
NIA Sed 2 Grp F rep 1 2x dil,Sample,Field,Sediment,NIA,PFOA,8.87E+03,3.16,3.05E+05,1.0192
NIA Sed 2 Grp F rep 2 2x dil,Sample,Field,Sediment,NIA,PFOA,1.04E+04,3.15,2.70E+05,1.0085
NIA Sed 2 Grp F rep 3 2x dil,Sample,Field,Sediment,NIA,PFOA,8.85E+03,3.16,2.76E+05,1.0256
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.67E+04,3.36,4.40E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.87E+04,3.37,5.11E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,6.81E+04,3.35,4.52E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.22E+05,3.35,3.96E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.12E+05,3.36,3.84E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,6.04E+05,3.33,4.54E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.24E+06,3.32,3.85E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.78E+06,3.35,1.25E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.12E+06,3.34,3.67E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.72E+03,3.34,3.41E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.91E+04,3.31,3.72E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.09E+04,3.32,3.45E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.03E+05,3.33,3.01E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.73E+05,3.34,3.26E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.91E+05,3.35,3.73E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,9.02E+05,3.34,2.82E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.60E+06,3.32,9.98E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.29E+06,3.34,2.97E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,5.79E+06,3.34,2.24E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,0.00E+00,3.55,1.37E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.14E+04,3.33,1.72E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.51E+04,3.33,2.37E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,7.24E+04,3.29,2.40E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.14E+05,3.31,2.73E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.54E+05,3.31,2.87E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,8.31E+05,3.31,2.52E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.29E+06,3.31,8.10E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.55E+06,3.35,2.47E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.53E+06,3.32,1.90E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,6.93E+03,3.27,3.42E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.88E+04,3.28,4.22E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.40E+04,3.29,4.08E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.01E+05,3.29,2.94E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.84E+05,3.28,3.73E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.86E+05,3.31,3.64E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,9.87E+05,3.3,3.22E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.37E+06,3.29,8.85E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.56E+06,3.29,3.21E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,5.17E+06,3.27,1.93E+05,1
20MC water ext 1 lab blank,Blank,Lab,Water,20MC,PFNA,1.29E+04,3.36,4.28E+05,1
20MC water ext 1 field blank,Blank,Field,Water,20MC,PFNA,1.05E+04,3.36,3.82E+05,1
20MC water ext 1 rep 1,Sample,Field,Water,20MC,PFNA,2.23E+04,3.35,5.10E+05,100
20MC water ext 1 rep 2,Sample,Field,Water,20MC,PFNA,2.40E+04,3.38,4.72E+05,100
20MC water ext 1 rep 3,Sample,Field,Water,20MC,PFNA,1.97E+04,3.34,4.14E+05,100
20MC water ext 2 lab blank,Blank,Lab,Water,20MC,PFNA,1.77E+04,3.28,3.68E+05,1
20MC water ext 2 field blank,Blank,Field,Water,20MC,PFNA,2.14E+04,3.34,3.17E+05,1
20MC water ext 2 rep 1,Sample,Field,Water,20MC,PFNA,2.24E+04,3.36,4.57E+05,100
20MC water ext 2 rep 2,Sample,Field,Water,20MC,PFNA,2.46E+04,3.36,4.80E+05,100
20MC water ext 2 rep 3,Sample,Field,Water,20MC,PFNA,1.71E+04,3.36,3.80E+05,100
NIA water ext Grp E lab blank,Blank,Lab,Water,NIA,PFNA,1.13E+04,3.37,1.30E+06,1
NIA water ext Grp E Field blank,Blank,Field,Water,NIA,PFNA,9.20E+03,3.38,1.26E+06,1
NIA water ext Grp E rep 1,Sample,Field,Water,NIA,PFNA,6.02E+04,3.33,1.59E+06,100
NIA water ext Grp E rep 2,Sample,Field,Water,NIA,PFNA,5.15E+04,3.33,1.36E+06,100
NIA water ext Grp E rep 3,Sample,Field,Water,NIA,PFNA,5.98E+04,3.32,1.40E+06,100
NIA water ext Grp F lab blank,Blank,Lab,Water,NIA,PFNA,1.60E+04,3.33,9.80E+05,1
NIA water ext Grp F Field blank,Blank,Field,Water,NIA,PFNA,6.04E+03,3.36,1.64E+06,1
NIA water ext Grp F rep 1,Sample,Field,Water,NIA,PFNA,6.08E+04,3.33,1.31E+06,100
NIA water ext Grp F rep 2,Sample,Field,Water,NIA,PFNA,6.62E+04,3.33,1.61E+06,100
NIA water ext Grp F rep 3,Sample,Field,Water,NIA,PFNA,4.45E+04,3.33,3.51E+05,100
NIA water ext Grp D lab blank,Blank,Lab,Water,NIA,PFNA,8.89E+03,3.34,8.72E+05,1
NIA water ext Grp D Field blank,Blank,Field,Water,NIA,PFNA,1.08E+04,3.37,1.01E+06,1
NIA water ext Grp D rep 1,Sample,Field,Water,NIA,PFNA,4.01E+04,3.33,9.90E+05,100
NIA water ext Grp D rep 2,Sample,Field,Water,NIA,PFNA,4.64E+04,3.34,1.29E+06,100
NIA water ext Grp D rep 3,Sample,Field,Water,NIA,PFNA,4.79E+04,3.33,1.13E+06,100
NIA water ext Grp D spike,Spike,Field,Water,NIA,PFNA,1.54E+06,3.33,7.65E+05,1
NIA water ext Grp E spike,Spike,Field,Water,NIA,PFNA,9.74E+05,3.32,1.17E+06,1
20MC water ext 2 spike,Spike,Field,Water,20MC,PFNA,1.24E+06,3.34,3.20E+05,1
20MC water ext 1 spike,Spike,Field,Water,20MC,PFNA,1.10E+06,3.35,3.34E+05,1
20MC blender blk Grp B,Blank,Blender,Biota,20MC,PFNA,1.06E+04,3.37,4.37E+05,1
20MC catfish Grp B rep 1,Sample,Blender,Biota,20MC,PFNA,4.64E+04,3.31,3.39E+05,1.0748
20MC catfish Grp B rep 2,Sample,Blender,Biota,20MC,PFNA,3.61E+04,3.21,4.11E+05,1.009
20MC catfish Grp B rep 3,Sample,Blender,Biota,20MC,PFNA,3.20E+04,3.31,3.28E+05,1.0164
20MC snail Grp B rep 1,Sample,Blender,Biota,20MC,PFNA,8.02E+03,3.34,3.78E+05,1.0074
20MC snail Grp B rep 2,Sample,Blender,Biota,20MC,PFNA,6.37E+03,3.33,4.10E+05,1.1286
20MC snail Grp B rep 3,Sample,Blender,Biota,20MC,PFNA,6.07E+03,3.35,3.80E+05,1.0855
20MC sunfish Grp B rep 1,Sample,Blender,Biota,20MC,PFNA,4.62E+03,3.34,2.99E+05,1.0472
20MC sunfish Grp B rep 2,Sample,Blender,Biota,20MC,PFNA,1.28E+04,3.29,3.61E+05,1.0903
20MC sunfish Grp B rep 3,Sample,Blender,Biota,20MC,PFNA,3.97E+03,3.32,2.66E+05,1.023
20MC Catfish 2 blender blk Grp C ,Blank,Blender,Biota,20MC,PFNA,0.00E+00,3.06,1.05E+06,1
20MC Catfish 2 Grp C rep 1,Sample,Blender,Biota,20MC,PFNA,3.07E+04,3.29,9.19E+05,1.086
20MC Catfish 2 Grp C rep 2,Sample,Blender,Biota,20MC,PFNA,2.55E+04,3.27,7.14E+05,1.0618
20MC Catfish 2 Grp C rep 3,Sample,Blender,Biota,20MC,PFNA,1.67E+04,3.26,6.52E+05,1.0268
20MC Crayfish Grp C blank,Blank,Blender,Biota,20MC,PFNA,4.83E+03,3.28,6.86E+05,1
20MC Crayfish Grp C rep 1,Sample,Blender,Biota,20MC,PFNA,8.17E+03,3.34,1.32E+06,1.0985
20MC Crayfish Grp C rep 2,Sample,Blender,Biota,20MC,PFNA,7.99E+03,3.3,0.00E+00,1.0701
20MC Crayfish Grp C rep 3,Sample,Blender,Biota,20MC,PFNA,7.52E+03,3.26,1.36E+06,0.719
20MC Homogenizer blk Grp C,Blank,Homogenizer,Biota,20MC,PFNA,6.67E+03,3.37,1.09E+06,1
20MC Mayfly Grp C rep 1,Sample,Homogenizer,Biota,20MC,PFNA,3.92E+04,3.34,1.00E+06,0.2434
20MC Mayfly Grp C rep 2,Sample,Homogenizer,Biota,20MC,PFNA,1.40E+04,3.27,9.42E+05,0.2421
20MC Mayfly Grp C rep 3,Sample,Homogenizer,Biota,20MC,PFNA,2.69E+04,3.34,1.05E+06,0.1754
20MC Mortar and Pestle blk Grp A,Blank,Pestle,Biota,20MC,PFNA,5.67E+03,3.36,1.05E+06,1
20MC Beetle Grp A,Sample,Pestle,Biota,20MC,PFNA,2.72E+04,3.3,3.97E+05,0.3872
20MC Stick bug Grp A,Sample,Pestle,Biota,20MC,PFNA,9.01E+04,3.29,8.13E+05,0.2556
20MC Minnow Grp A rep 1,Sample,Blender,Biota,20MC,PFNA,1.08E+04,3.26,3.73E+05,1.085
20MC Minnow Grp A rep 2,Sample,Blender,Biota,20MC,PFNA,1.48E+04,3.27,4.22E+05,0.9924
20MC Minnow Grp A rep 3,Sample,Blender,Biota,20MC,PFNA,5.08E+03,3.3,1.71E+05,1.012
NIA Blender Blk Grp D 2x dil,Blank,Blender,Biota,NIA,PFNA,9.41E+03,3.36,1.09E+06,1
NIA Catfish 1-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,1.00E+04,3.36,1.41E+06,0.811
NIA Catfish 1-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,1.14E+04,3.31,1.24E+06,0.8655
NIA Catfish 1-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,1.11E+04,3.31,1.38E+06,0.9952
NIA Sunfish 2-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,7.83E+03,3.37,1.30E+06,0.998
NIA Sunfish 2-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,9.48E+03,3.34,1.50E+06,1.3837
NIA Sunfish 2-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFNA,6.07E+03,3.34,1.08E+06,1.1401
NIA Homogenizer Blk Grp D 2x dil,Blank,Homogenizer,Biota,NIA,PFNA,0.00E+00,2.58,1.52E+06,1
NIA Damselfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFNA,7.65E+03,3.34,9.55E+05,1.0018
NIA Damselfly 2 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFNA,8.22E+03,3.37,8.61E+05,0.4005
NIA Dragonfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFNA,9.69E+03,3.36,9.17E+05,0.352
NIA Mortar and Pestle Blk Grp E 2x dil,Blank,Pestle,Biota,NIA,PFNA,4.72E+03,3.36,1.11E+06,1
NIA Catfish Blk Grp E 2x dil,Blank,Blender,Biota,NIA,PFNA,5.01E+03,3.32,8.64E+05,1
NIA Whirlygig 1 Grp E 20x dil,Sample,Pestle,Biota,NIA,PFNA,9.55E+03,3.34,1.35E+06,0.3269
NIA Catfish 2-1 Grp E 20x dil,Sample,Blender,Biota,NIA,PFNA,6.80E+03,3.39,1.08E+06,0.9985
NIA Catfish 2-2 Grp E 20x dil,Sample,Blender,Biota,NIA,PFNA,7.34E+03,3.34,1.15E+06,0.8517
NIA Snail Grp E 20x dil,Sample,Homogenizer,Biota,NIA,PFNA,7.45E+04,3.34,1.04E+06,1.5217
NIA Damselfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFNA,4.94E+04,3.32,1.04E+06,0.4005
NIA Damselfly 2 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFNA,2.79E+04,3.32,9.42E+05,0.352
NIA Dragonfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFNA,4.66E+04,3.34,8.66E+05,1.0018
NIA Catfish 1-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,2.36E+04,3.31,5.95E+05,0.811
NIA Catfish 1-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,2.05E+04,3.33,5.18E+05,0.8655
NIA Catfish 1-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,1.75E+04,3.28,2.92E+05,0.9952
NIA Sunfish 2-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,4.57E+03,3.33,2.91E+05,0.998
NIA Sunfish 2-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,7.27E+03,3.34,3.33E+05,1.3837
NIA Sunfish 2-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFNA,8.18E+03,3.36,2.74E+05,1.1401
NIA Whirlygig 1 Grp E 2x dil,Sample,Pestle,Biota,NIA,PFNA,9.17E+03,3.36,4.38E+05,0.3269
NIA Catfish 2-1 Grp E 2x dil,Sample,Blender,Biota,NIA,PFNA,1.23E+04,3.35,2.88E+05,0.9985
NIA Catfish 2-2 Grp E 2x dil,Sample,Blender,Biota,NIA,PFNA,1.51E+04,3.34,3.25E+05,0.8517
NIA Snail Grp E 2x dil,Sample,Homogenizer,Biota,NIA,PFNA,1.24E+05,3.33,1.37E+05,1.5217
20MC Sed 2 Grp A lab blk,Blank,Lab,Sediment,,PFNA,2.87E+03,3.33,6.27E+05,1
20MC Sed 2 Grp A field blk,Blank,Field,Sediment,20MC,PFNA,1.79E+03,3.39,4.40E+05,1
20MC Sed 2 Grp A rep 1,Sample,Field,Sediment,20MC,PFNA,8.01E+03,3.35,1.76E+05,0.9946
20MC Sed 2 Grp A rep 2,Sample,Field,Sediment,20MC,PFNA,8.21E+03,3.34,3.49E+05,1.0023
20MC Sed 2 Grp A rep 3,Sample,Field,Sediment,20MC,PFNA,1.07E+04,3.35,2.68E+05,0.9943
20MC Sed 3 Grp C lab blk,Blank,Lab,Sediment,20MC,PFNA,1.58E+03,3.37,6.15E+05,1
20MC Sed 3 Grp C field blk,Blank,Field,Sediment,20MC,PFNA,2.11E+03,3.36,2.41E+05,1
20MC Sed 3 Grp C rep 1,Sample,Field,Sediment,20MC,PFNA,8.53E+03,3.33,2.74E+05,0.9937
20MC Sed 3 Grp C rep 2,Sample,Field,Sediment,20MC,PFNA,3.20E+04,3.33,2.50E+05,1.0376
20MC Sed 3 Grp C rep 3,Sample,Field,Sediment,20MC,PFNA,1.94E+04,3.34,3.03E+05,1.0013
20MC Sed 1 Grp B method blk,Blank,Lab,Sediment,20MC,PFNA,1.54E+03,3.34,1.64E+05,1
20MC Sed 1 Grp B field blk,Blank,Field,Sediment,20MC,PFNA,1.83E+03,3.34,7.32E+05,1
20MC Sed 1 Grp B rep 1,Sample,Field,Sediment,20MC,PFNA,8.53E+03,3.31,1.17E+05,0.9924
20MC Sed 1 Grp B rep 2,Sample,Field,Sediment,20MC,PFNA,3.64E+03,3.34,1.07E+05,0.9884
20MC Sed 1 Grp B rep 3,Sample,Field,Sediment,20MC,PFNA,0.00E+00,3.04,1.08E+05,1.0116
NIA Sed 2 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFNA,3.09E+03,3.31,5.67E+05,1
NIA Sed 2 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFNA,2.87E+03,3.36,6.38E+05,1
NIA Sed 2 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFNA,2.54E+03,3.35,8.17E+05,1.0192
NIA Sed 2 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFNA,1.35E+03,3.34,7.44E+05,1.0085
NIA Sed 2 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFNA,4.76E+03,3.38,8.47E+05,1.0256
NIA HMBK Grp F 2x dil,Blank,Lab,Sediment,NIA,PFNA,2.45E+03,3.3,8.38E+05,1
NIA BDBK Grp F 2x dil,Blank,Field,Sediment,NIA,PFNA,4.70E+03,3.33,9.32E+05,1
NIA Sed 3 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFNA,4.28E+03,3.33,8.81E+05,1
NIA Sed 3 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFNA,4.10E+03,3.32,9.55E+05,1
NIA Sed 3 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFNA,8.63E+03,3.3,8.91E+05,1
NIA Sed 3 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFNA,5.56E+03,3.31,7.87E+05,1.0103
NIA Sed 3 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFNA,4.94E+03,3.34,9.56E+05,1.0548
NIA Sed 1 Grp E method blk 2x dil,Blank,Lab,Sediment,NIA,PFNA,3.92E+03,3.3,1.03E+06,1
NIA Sed 1 Grp E field blk 2x dil,Blank,Field,Sediment,NIA,PFNA,3.89E+03,3.32,9.95E+05,1
NIA Sed 1 Grp E rep 1 20x dil,Sample,Field,Sediment,NIA,PFNA,4.70E+03,3.33,8.52E+05,1.0081
NIA Sed 1 Grp E rep 2 20x dil,Sample,Field,Sediment,NIA,PFNA,3.51E+03,3.3,1.04E+06,0.9999
NIA Sed 1 Grp E rep 3 20x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.28,9.53E+05,1.0080
NIA Sed 3 rep 1 2x dil,Sample,Field,Sediment,NIA,PFNA,2.37E+04,3.31,4.70E+05,1
NIA Sed 3 rep 2 2x dil,Sample,Field,Sediment,NIA,PFNA,1.85E+04,3.31,4.85E+05,1.0103
NIA Sed 3 rep 3 2x dil,Sample,Field,Sediment,NIA,PFNA,1.07E+04,3.31,4.41E+05,1.0548
NIA Sed 1 rep 1 2x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.29,3.49E+05,1.0081
NIA Sed 1 rep 2 2x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,2.96,2.86E+05,0.9999
NIA Sed 1 rep 3 2x dil,Sample,Field,Sediment,NIA,PFNA,8.83E+02,3.24,2.94E+05,1.0080
NIA Sed 2 Grp F rep 1 2x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.33,2.43E+05,1.0192
NIA Sed 2 Grp F rep 2 2x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,3.35,2.14E+05,1.0085
NIA Sed 2 Grp F rep 3 2x dil,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,2.19E+05,1.0256
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,8.31E+03,3.55,3.32E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.40E+04,3.55,3.45E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.70E+04,3.51,3.69E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,9.29E+04,3.53,2.77E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.57E+05,3.52,2.84E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.35E+05,3.52,3.30E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,9.35E+05,3.5,2.49E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.23E+06,3.51,9.12E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.87E+06,3.54,2.72E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.75E+03,3.55,2.46E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.76E+04,3.49,2.62E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.82E+04,3.52,2.13E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,6.78E+04,3.53,2.03E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.12E+05,3.52,1.95E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.14E+05,3.51,2.25E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,6.69E+05,3.5,2.12E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.03E+06,3.5,5.94E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.38E+06,3.5,2.21E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.49E+06,3.49,1.81E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,0.00E+00,0,7.44E+04,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,6.91E+03,3.48,8.60E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.60E+04,3.48,1.25E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.05E+04,3.46,1.38E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,7.53E+04,3.49,1.36E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.36E+05,3.48,1.48E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.99E+05,3.48,1.56E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,8.13E+05,3.48,4.63E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.76E+06,3.49,1.67E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.59E+06,3.49,1.48E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,5.45E+03,3.53,2.04E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.07E+04,3.45,2.52E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.28E+04,3.48,2.26E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,6.53E+04,3.45,2.13E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.34E+05,3.47,2.23E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,4.38E+05,3.47,2.99E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,8.21E+05,3.47,2.67E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.21E+06,3.45,8.22E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.63E+06,3.46,2.12E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,5.20E+06,3.45,2.24E+05,1
20MC water ext 1 lab blank,Blank,Lab,Water,20MC,PFDA,7.59E+03,3.55,3.27E+05,1
20MC water ext 1 field blank,Blank,Field,Water,20MC,PFDA,4.37E+03,3.53,2.77E+05,1
