Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Normalization factor,
20MC_GroupA_sediment_sample3,Sample,Field,Sediment,20MC,PFOA,5.89E+03,3.89,8.60E+04,3.89,0.9996,FALSE
20MC_GroupB_Bug_2xdilution,Sample,Pestle,Biota,20MC,PFOA,2.01E+04,3.86,6.10E+04,3.86,0.1,FALSE
20MC_GroupB_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFOA,1.87E+04,3.88,3.92E+04,3.86,1,FALSE
20MC_GroupB_Bug_1_2xdilution,Sample,Pestle,Biota,20MC,PFOA,2.09E+04,3.85,7.53E+04,3.87,0.2389,FALSE
20MC_GroupB_Bug_2_2xdilution,Sample,Pestle,Biota,20MC,PFOA,1.00E+04,3.88,8.17E+04,3.86,0.0209,FALSE
20MC_GroupB_Bug_4_2xdilution,Sample,Pestle,Biota,20MC,PFOA,5.01E+03,3.91,4.53E+04,3.86,0.0209,FALSE
20MC_GroupB_Crayfish_4_2xdilution,Sample,Pestle,Biota,20MC,PFOA,1.48E+04,3.87,5.85E+04,3.88,0.8841,FALSE
20MC_GroupB_Crayfish_5_2xdilution,Sample,Pestle,Biota,20MC,PFOA,2.23E+04,3.85,2.58E+04,3.85,1.0013,FALSE
20MC_GroupB_Catfish_2_2xdilution,Sample,Blender,Biota,20MC,PFOA,5.89E+03,3.87,1.39E+04,3.86,1.9834,FALSE
20MC_GroupB_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFOA,8.65E+03,3.92,1.38E+05,3.9,1,FALSE
20MC_GroupB_sediment_field_blank,Blank,Field,Sediment,20MC,PFOA,3.17E+04,3.9,2.46E+05,3.9,1,FALSE
20MC_GroupB_sediment_field_spike,Spike,Field,Sediment,20MC,PFOA,6.88E+05,3.9,2.25E+05,3.9,1,FALSE
20MC_GroupB_sediment_sample1,Sample,Field,Sediment,20MC,PFOA,7.24E+04,3.89,2.64E+05,3.89,1.0172,FALSE
20MC_GroupB_sediment_sample2,Sample,Field,Sediment,20MC,PFOA,4.82E+04,3.89,2.11E+05,3.89,1.0119,FALSE
20MC_GroupB_sediment_sample3,Sample,Field,Sediment,20MC,PFOA,5.29E+04,3.89,2.01E+05,3.89,1.0063,FALSE
20MC_GroupC_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFOA,3.51E+04,3.89,1.43E+05,3.87,1,FALSE
20MC_GroupC_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFOA,3.76E+05,3.87,1.45E+05,3.89,1,FALSE
20MC_GroupC_Crayfish_3_2xdilution,Sample,Pestle,Biota,20MC,PFOA,7.99E+04,3.85,7.74E+04,3.86,0.8155,FALSE
20MC_GroupC_Blender_Blank_2xdilution,Blank,Blender,Biota,20MC,PFOA,4.19E+03,3.88,6.48E+04,3.86,1,FALSE
20MC_GroupC_Bluegill_Sunfish_2xdilution,Sample,Blender,Biota,20MC,PFOA,2.63E+04,3.86,8.95E+04,3.86,0.1946,FALSE
20MC_GroupC_Catfish_3_2xdilution,Sample,Blender,Biota,20MC,PFOA,1.84E+04,3.87,3.33E+04,3.88,1.0773,FALSE
20MC_GroupC_Nymphs_3_2xdilution,Sample,Homogenizer,Biota,20MC,PFOA,2.58E+04,3.87,4.78E+04,3.86,0.5289,FALSE
20MC_GroupC_Slug_2xdilution,Sample,Homogenizer,Biota,20MC,PFOA,1.49E+04,3.88,4.05E+04,3.86,0.5593,FALSE
20MC_GroupC_Beetle_2xdilution,Sample,Pestle,Biota,20MC,PFOA,3.07E+04,3.86,4.83E+04,3.87,0.2705,FALSE
20MC_GroupC_Whirligig_2xdilution,Sample,Pestle,Biota,20MC,PFOA,9.57E+03,3.87,4.52E+04,3.86,0.0547,FALSE
NIA_Water_Lab_Blank,Blank,Lab,Water,NIA,PFOA,7.72E+03,3.88,4.71E+04,3.87,1,FALSE
NIA_Water_Field_Blank,Blank,Field,Water,NIA,PFOA,3.12E+03,3.89,4.85E+04,3.87,1,FALSE
NIA_Water_Spike_1,Spike,Field,Water,NIA,PFOA,4.38E+05,3.88,5.04E+04,3.87,1,FALSE
NIA_Water_Spike_2,Spike,Field,Water,NIA,PFOA,4.75E+05,3.89,5.28E+04,3.89,1,FALSE
NIA_Water_Sample_1,Sample,Field,Water,NIA,PFOA,3.02E+04,3.88,5.17E+04,3.89,100,FALSE
NIA_Water_Sample_2,Sample,Field,Water,NIA,PFOA,7.38E+04,3.88,4.86E+04,3.88,100,FALSE
NIA_Water_Sample_3,Sample,Field,Water,NIA,PFOA,2.74E+04,3.87,4.51E+04,3.89,100,FALSE
NIA_Water_Sample_4,Sample,Field,Water,NIA,PFOA,2.59E+04,3.87,4.38E+04,3.87,100,FALSE
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,2.35E+03,3.92,4.06E+04,3.88,1,FALSE
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,7.86E+03,3.87,5.31E+04,3.88,1,FALSE
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,1.36E+04,3.87,5.76E+04,3.87,1,FALSE
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,3.04E+04,3.91,6.36E+04,3.87,1,FALSE
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,6.17E+04,3.91,7.42E+04,3.9,1,FALSE
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,1.40E+05,3.88,6.40E+04,3.87,1,FALSE
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,3.85E+05,3.88,6.98E+04,3.87,1,FALSE
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,7.43E+05,3.9,7.82E+04,3.89,1,FALSE
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,1.34E+06,3.88,9.98E+04,3.88,1,FALSE
NIA_100 ng/mL,Calibration curve,Lab,N/A,NIA,PFOA,3.18E+06,3.89,1.34E+05,3.88,1,FALSE
NIA_GroupF_Blender_Blank_2x,Blank,Blender,Biota,NIA,PFOA,2.39E+03,3.88,1.03E+04,3.86,1,FALSE
NIA_GroupF_Biota_Spike_2x,Spike,Blender,Biota,NIA,PFOA,5.46E+04,3.87,2.61E+04,3.86,1,FALSE
NIA_GroupF_Mortar_Blank_2x,Blank,Pestle,Biota,NIA,PFOA,5.14E+03,3.89,1.55E+04,3.89,1,FALSE
NIA_GroupF_Homogenizer_Blank_2x,Blank,Homogenizer,Biota,NIA,PFOA,3.45E+03,3.88,1.58E+04,3.87,1,FALSE
NIA_GroupF_Crayfish_20x,Sample,Pestle,Biota,NIA,PFOA,5.38E+03,3.87,1.41E+04,3.86,1.338,FALSE
NIA_GroupF_Bug_20x,Sample,Pestle,Biota,NIA,PFOA,1.48E+03,3.85,2.14E+04,3.88,0.2843,FALSE
NIA_GroupF_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.32E+03,3.88,1.70E+04,3.88,0.9854,FALSE
NIA_GroupF_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.33E+03,3.9,1.67E+04,3.87,1.0054,FALSE
NIA_GroupF_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.52E+03,3.9,1.44E+04,3.88,1.0363,FALSE
NIA_GroupF_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.03E+03,3.88,1.68E+04,3.87,1.2382,FALSE
NIA_GroupF_Catfish_1A_20x,Sample,Blender,Biota,NIA,PFOA,1.31E+03,3.91,1.84E+04,3.86,1.0587,FALSE
NIA_GroupF_Catfish_1B_20x,Sample,Blender,Biota,NIA,PFOA,1.51E+03,3.9,2.18E+04,3.87,1.1866,FALSE
NIA_GroupF_Catfish_1C_20x,Sample,Blender,Biota,NIA,PFOA,1.67E+03,3.91,2.26E+04,3.88,1.4201,FALSE
NIA_GroupF_Catfish_2_20x,Sample,Blender,Biota,NIA,PFOA,1.32E+03,3.94,1.79E+04,3.87,0.4611,FALSE
NIA_GroupF_Catfish_3_20x,Sample,Blender,Biota,NIA,PFOA,9.74E+02,3.87,2.26E+04,3.87,0.4665,FALSE
NIA_GroupF_Catfish_4_20x,Sample,Blender,Biota,NIA,PFOA,2.13E+03,3.94,2.89E+04,3.89,0.424,FALSE
NIA_GroupF_Crayfish_2x,Sample,Pestle,Biota,NIA,PFOA,8.92E+04,3.86,2.74E+04,3.86,1.338,FALSE
NIA_GroupF_Bug_2x,Sample,Pestle,Biota,NIA,PFOA,4.42E+03,3.89,1.40E+04,3.85,0.2843,FALSE
NIA_GroupF_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFOA,3.08E+03,3.86,7.88E+03,3.87,0.9854,FALSE
NIA_GroupF_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFOA,3.51E+02,3.88,0.00E+00,0,1.0054,TRUE
NIA_GroupF_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFOA,4.04E+03,3.87,1.18E+04,3.88,1.0363,FALSE
NIA_GroupF_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFOA,3.75E+03,3.86,1.07E+04,3.89,1.2382,FALSE
NIA_GroupF_Catfish_1A_2x,Sample,Blender,Biota,NIA,PFOA,2.95E+03,3.86,6.34E+03,3.87,1.0587,FALSE
NIA_GroupF_Catfish_1B_2x,Sample,Blender,Biota,NIA,PFOA,0.00E+00,0,0.00E+00,0,1.1866,TRUE
NIA_GroupF_Catfish_1C_2x,Sample,Blender,Biota,NIA,PFOA,0.00E+00,0,0.00E+00,0,1.4201,TRUE
NIA_GroupF_Catfish_2_2x,Sample,Blender,Biota,NIA,PFOA,0.00E+00,0,0.00E+00,0,0.4611,TRUE
NIA_GroupF_Catfish_3_2x,Sample,Blender,Biota,NIA,PFOA,0.00E+00,0,0.00E+00,0,0.4665,TRUE
NIA_GroupF_Catfish_4_2x,Sample,Blender,Biota,NIA,PFOA,0.00E+00,0,0.00E+00,0,0.424,TRUE
NIA_GroupD_Blender_Blank,Blank,Blender,Biota,NIA,PFOA,2.82E+04,3.87,9.36E+04,3.88,1,FALSE
NIA_GroupD_Biota_Spike,Spike,Blender,Biota,NIA,PFOA,3.89E+05,3.89,7.70E+04,3.89,1,FALSE
NIA_GroupD_Bluegill_1_20x,Sample,Blender,Biota,NIA,PFOA,5.51E+03,3.88,6.39E+04,3.88,0.4212,FALSE
NIA_GroupD_Bluegill_2_20x,Sample,Blender,Biota,NIA,PFOA,3.31E+03,3.91,5.91E+04,3.9,0.3059,FALSE
NIA_GroupD_Bluegill_3_20x,Sample,Blender,Biota,NIA,PFOA,4.63E+03,3.88,5.89E+04,3.89,0.5911,FALSE
NIA_GroupD_Crayfish_1_20x,Sample,Pestle,Biota,NIA,PFOA,1.60E+04,3.89,6.88E+04,3.88,1.0304,FALSE
NIA_GroupD_Crayfish_2_20x,Sample,Pestle,Biota,NIA,PFOA,1.19E+04,3.91,6.28E+04,3.89,1.056,FALSE
NIA_GroupD_Crayfish_3_20x,Sample,Pestle,Biota,NIA,PFOA,1.17E+04,3.88,5.98E+04,3.88,0.9936,FALSE
NIA_GroupD_Bug_20x,Sample,Pestle,Biota,NIA,PFOA,4.10E+03,3.88,4.78E+04,3.87,0.2205,FALSE
NIA_GroupD_Bluegill_1_2x,Sample,Blender,Biota,NIA,PFOA,1.11E+04,3.9,7.37E+04,3.89,0.4212,FALSE
NIA_GroupD_Bluegill_2_2x,Sample,Blender,Biota,NIA,PFOA,4.11E+03,3.91,4.70E+04,3.88,0.3059,FALSE
NIA_GroupD_Bluegill_3_2x,Sample,Blender,Biota,NIA,PFOA,5.86E+03,3.89,2.40E+04,3.87,0.5911,FALSE
NIA_GroupD_Crayfish_1_2x,Sample,Pestle,Biota,NIA,PFOA,4.54E+04,3.85,2.70E+04,3.85,1.0304,FALSE
NIA_GroupD_Crayfish_2_2x,Sample,Pestle,Biota,NIA,PFOA,1.70E+04,3.85,1.54E+04,3.85,1.056,FALSE
NIA_GroupD_Crayfish_3_2x,Sample,Pestle,Biota,NIA,PFOA,2.01E+04,3.86,1.29E+04,3.85,0.9936,FALSE
NIA_GroupD_Bug_2x,Sample,Pestle,Biota,NIA,PFOA,1.83E+03,3.86,1.58E+04,3.86,0.2205,FALSE
NIA_GroupD_sediment_lab_blank,Blank,Lab,Sediment,NIA,PFOA,9.78E+02,3.87,1.68E+04,3.88,1,FALSE
NIA_GroupD_sediment_field_blank,Blank,Field,Sediment,NIA,PFOA,1.67E+04,3.89,1.76E+04,3.88,1,FALSE
NIA_GroupD_sediment_spike,Spike,Field,Sediment,NIA,PFOA,7.30E+04,3.88,1.35E+04,3.87,1,FALSE
NIA_GroupD_sediment_sample_1_20x,Sample,Field,Sediment,NIA,PFOA,2.30E+03,3.95,1.90E+04,3.88,1.0042,FALSE
NIA_GroupD_sediment_sample_2_20x,Sample,Field,Sediment,NIA,PFOA,2.06E+03,3.9,2.62E+04,3.89,1.0087,FALSE
NIA_GroupD_sediment_sample_3_20x,Sample,Field,Sediment,NIA,PFOA,2.17E+03,3.9,3.15E+04,3.89,1.009,FALSE
NIA_GroupD_sediment_sample_1_2x,Sample,Field,Sediment,NIA,PFOA,6.78E+03,3.88,2.90E+04,3.87,1.0042,FALSE
NIA_GroupD_sediment_sample_2_2x,Sample,Field,Sediment,NIA,PFOA,4.73E+03,3.87,1.94E+04,3.87,1.0087,FALSE
NIA_GroupD_sediment_sample_3_2x,Sample,Field,Sediment,NIA,PFOA,4.54E+03,3.89,1.67E+04,3.87,1.009,FALSE
NIA_GroupE_Blender_Blank,Blank,Blender,Biota,NIA,PFOA,0.00E+00,0,1.43E+04,3.89,1,FALSE
NIA_GroupE_Biota_Spike,Spike,Homogenizer,Biota,NIA,PFOA,1.05E+05,3.89,1.76E+04,3.88,1,FALSE
NIA_GroupE_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFOA,2.11E+03,3.93,2.28E+04,3.88,1.0419,FALSE
NIA_GroupE_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFOA,2.06E+03,3.85,2.28E+04,3.86,1.0003,FALSE
NIA_GroupE_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.86E+03,3.89,2.43E+04,3.88,1.0657,FALSE
NIA_GroupE_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.82E+03,3.86,2.55E+04,3.89,2.4803,FALSE
NIA_GroupE_Shrimp_5_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.51E+03,3.89,2.40E+04,3.88,5.9906,FALSE
NIA_GroupE_Shrimp_6_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.48E+03,3.87,2.66E+04,3.88,1,FALSE
NIA_GroupE_PumpkinSeed_1_20x,Sample,Homogenizer,Biota,NIA,PFOA,2.13E+03,3.95,2.62E+04,3.89,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_20x,Sample,Homogenizer,Biota,NIA,PFOA,2.34E+03,3.89,3.05E+04,3.87,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.59E+03,3.88,2.79E+04,3.88,0.2329,FALSE
NIA_GroupE_Spider_1_20x,Sample,Homogenizer,Biota,NIA,PFOA,1.48E+03,3.88,3.18E+04,3.9,0.0129,FALSE
NIA_GroupE_Beetle_1_20x,Sample,Pestle,Biota,NIA,PFOA,1.69E+03,3.9,3.30E+04,3.87,0.07,FALSE
NIA_GroupE_Nymph_1_20x,Sample,Homogenizer,Biota,NIA,PFOA,2.83E+03,3.89,3.80E+04,3.87,0.2131,FALSE
NIA_GroupE_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFOA,1.30E+04,3.88,4.92E+04,3.89,1.0419,FALSE
NIA_GroupE_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFOA,5.36E+03,3.85,1.32E+04,3.84,1.0003,FALSE
NIA_GroupE_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFOA,2.49E+03,3.89,9.73E+03,3.87,1.0657,FALSE
NIA_GroupE_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFOA,1.62E+03,3.86,6.35E+03,3.86,2.4803,FALSE
NIA_GroupE_Shrimp_5_2x,Sample,Homogenizer,Biota,NIA,PFOA,2.37E+03,3.88,7.89E+03,3.88,5.9906,FALSE
NIA_GroupE_Shrimp_6_2x,Sample,Homogenizer,Biota,NIA,PFOA,2.20E+03,3.88,7.67E+03,3.86,1,FALSE
NIA_GroupE_PumpkinSeed_1_2x,Sample,Homogenizer,Biota,NIA,PFOA,8.01E+02,3.89,9.10E+03,3.87,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_2x,Sample,Homogenizer,Biota,NIA,PFOA,2.03E+03,3.86,1.13E+04,3.87,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_2x,Sample,Homogenizer,Biota,NIA,PFOA,7.34E+02,3.9,1.00E+04,3.87,0.2329,FALSE
NIA_GroupE_Spider_1_2x,Sample,Homogenizer,Biota,NIA,PFOA,8.25E+02,3.87,1.00E+04,3.88,0.0129,FALSE
NIA_GroupE_Beetle_1_2x,Sample,Pestle,Biota,NIA,PFOA,7.40E+02,3.89,1.50E+04,3.89,0.07,FALSE
NIA_GroupE_Nymph_1_2x,Sample,Homogenizer,Biota,NIA,PFOA,2.21E+03,3.87,1.40E+04,3.88,0.2131,FALSE
NIA_GroupE_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFOA,1.28E+03,3.93,1.60E+04,3.86,1,FALSE
NIA_GroupE_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFOA,1.55E+04,3.88,1.36E+04,3.87,1,FALSE
NIA_GroupE_Sediment_Spike,Spike,Field,Sediment,NIA,PFOA,8.28E+04,3.87,1.18E+04,3.86,1,FALSE
NIA_GroupE_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFOA,2.64E+03,3.9,1.64E+04,3.88,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFOA,1.13E+03,3.88,1.77E+04,3.87,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFOA,1.47E+03,3.88,1.96E+04,3.88,1.0034,FALSE
NIA_GroupE_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFOA,5.93E+03,3.89,2.04E+04,3.87,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFOA,5.03E+03,3.86,1.61E+04,3.87,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFOA,4.12E+03,3.91,1.53E+04,3.87,1.0034,FALSE
NIA_GroupF_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFOA,0.00E+00,0,1.48E+04,3.88,0,FALSE
NIA_GroupF_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFOA,1.25E+04,3.9,1.21E+04,3.89,0,FALSE
NIA_GroupF_Sediment_Spike,Spike,Field,Sediment,NIA,PFOA,8.76E+04,3.88,1.31E+04,3.9,0,FALSE
NIA_GroupF_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFOA,1.56E+03,3.88,1.52E+04,3.9,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFOA,1.17E+03,3.94,1.74E+04,3.89,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFOA,2.27E+03,3.9,1.77E+04,3.89,0.9945,FALSE
NIA_GroupF_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFOA,7.00E+03,3.89,2.14E+04,3.88,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFOA,4.91E+03,3.88,1.82E+04,3.88,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFOA,4.91E+03,3.91,1.69E+04,3.86,0.9945,FALSE
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,0.00E+00,3.29,2.59E+05,4.18,1,FALSE
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,5.26E+04,4.15,2.93E+05,4.13,1,FALSE
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,7.19E+04,4.12,3.11E+05,4.12,1,FALSE
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,1.16E+05,4.12,2.55E+05,4.12,1,FALSE
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,2.17E+05,4.12,2.88E+05,4.11,1,FALSE
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,4.48E+05,4.11,2.08E+05,4.12,1,FALSE
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,1.13E+06,4.11,2.11E+05,4.11,1,FALSE
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,1.95E+06,4.11,2.06E+05,4.11,1,FALSE
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,3.21E+06,4.09,1.98E+05,4.09,1,FALSE
20MC_100 ng/mL,Calibration curve,Lab,N/A,20MC,PFNA,7.61E+06,4.09,1.82E+05,4.08,1,FALSE
20MC_water_lab_blank,Blank,Lab,Water,20MC,PFNA,6.11E+04,4.09,2.07E+05,4.09,1,FALSE
20MC_water_field_blank,Blank,Field,Water,20MC,PFNA,8.88E+03,4.1,2.02E+05,4.08,1,FALSE
20MC_water_spike1,Spike,Field,Water,20MC,PFNA,1.78E+06,4.08,2.02E+05,4.08,1,FALSE
20MC_water_spike2,Spike,Field,Water,20MC,PFNA,1.60E+06,4.08,2.08E+05,4.07,1,FALSE
20MC_water_sample_1,Sample,Field,Water,20MC,PFNA,1.91E+04,4.09,2.05E+05,4.07,100,FALSE
20MC_water_sample_2,Sample,Field,Water,20MC,PFNA,1.44E+04,4.08,2.16E+05,4.08,100,FALSE
20MC_water_sample_3,Sample,Field,Water,20MC,PFNA,9.68E+03,4.07,2.00E+05,4.07,100,FALSE
20MC_water_sample_4,Sample,Field,Water,20MC,PFNA,1.01E+04,4.07,2.02E+05,4.06,100,FALSE
20MC_GroupC_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFNA,3.96E+04,4.05,1.95E+05,4.05,1,FALSE
20MC_GroupC_sediment_field_blank,Blank,Field,Sediment,20MC,PFNA,7.92E+03,4.06,8.03E+04,4.05,1,FALSE
20MC_GroupC_sediment_field_spike,Spike,Field,Sediment,20MC,PFNA,5.80E+05,4.04,1.32E+05,4.03,1,FALSE
20MC_GroupC_sediment_1,Sample,Field,Sediment,20MC,PFNA,9.75E+03,4.04,1.19E+05,4.04,0.9993,FALSE
20MC_GroupC_sediment_2,Sample,Field,Sediment,20MC,PFNA,4.27E+03,4.05,8.30E+04,4.04,0.9969,FALSE
20MC_GroupC_sediment_3,Sample,Field,Sediment,20MC,PFNA,3.91E+03,4.02,6.98E+04,4.04,0.9964,FALSE
20MC_GroupA_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFNA,6.96E+04,4.03,2.68E+04,4.03,1,FALSE
20MC_GroupA_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFNA,2.15E+03,4.01,5.13E+04,4.02,1,FALSE
20MC_GroupA_Crayfish_1_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.82E+03,4.03,1.05E+05,4.03,1.0527,FALSE
20MC_GroupA_Crayfish_2_2xdilution,Sample,Pestle,Biota,20MC,PFNA,5.46E+03,4.04,5.43E+04,4.03,1.0751,FALSE
20MC_GroupA_Catfish_1_2xdilution,Sample,Blender,Biota,20MC,PFNA,2.02E+03,4.02,5.50E+04,4.01,1.0718,FALSE
20MC_GroupA_Catfish_4_2xdilution,Sample,Blender,Biota,20MC,PFNA,6.67E+03,4.02,5.06E+04,4.01,1.152,FALSE
20MC_GroupA_Bug_3_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.16E+03,4.01,4.37E+04,4.01,0.1101,FALSE
20MC_GroupA_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFNA,2.88E+03,4.07,1.55E+05,4.05,1,FALSE
20MC_GroupA_sediment_field_blank,Blank,Field,Sediment,20MC,PFNA,1.50E+04,4.06,9.67E+04,4.06,1,FALSE
20MC_GroupA_sediment_field_spike,Spike,Field,Sediment,20MC,PFNA,6.17E+05,4.05,1.20E+05,4.05,1,FALSE
20MC_GroupA_sediment_sample1,Sample,Field,Sediment,20MC,PFNA,9.09E+03,4.04,1.07E+05,4.03,0.9952,FALSE
20MC_GroupA_sediment_sample2,Sample,Field,Sediment,20MC,PFNA,2.66E+03,4.03,9.97E+04,4.04,0.9943,FALSE
20MC_GroupA_sediment_sample3,Sample,Field,Sediment,20MC,PFNA,2.20E+03,4.04,9.54E+04,4.04,0.9996,FALSE
20MC_GroupB_Bug_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.63E+04,4.02,7.26E+04,4.01,0.1,FALSE
20MC_GroupB_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFNA,1.57E+03,4.04,4.59E+04,4.02,1,FALSE
20MC_GroupB_Bug_1_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.63E+04,4.03,8.66E+04,4.02,0.2389,FALSE
20MC_GroupB_Bug_2_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.49E+03,4.03,9.91E+04,4.01,0.0209,FALSE
20MC_GroupB_Bug_4_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.14E+03,4.05,4.87E+04,4.03,0.0209,FALSE
20MC_GroupB_Crayfish_4_2xdilution,Sample,Pestle,Biota,20MC,PFNA,2.04E+03,4.05,6.91E+04,4.03,0.8841,FALSE
20MC_GroupB_Crayfish_5_2xdilution,Sample,Pestle,Biota,20MC,PFNA,4.43E+03,4.02,3.15E+04,4.01,1.0013,FALSE
20MC_GroupB_Catfish_2_2xdilution,Sample,Blender,Biota,20MC,PFNA,3.48E+03,4.04,1.35E+04,4.04,1.9834,FALSE
20MC_GroupB_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFNA,3.13E+03,4.07,1.55E+05,4.07,1,FALSE
20MC_GroupB_sediment_field_blank,Blank,Field,Sediment,20MC,PFNA,1.30E+04,4.06,2.52E+05,4.06,1,FALSE
20MC_GroupB_sediment_field_spike,Spike,Field,Sediment,20MC,PFNA,6.04E+05,4.06,2.31E+05,4.06,1,FALSE
20MC_GroupB_sediment_sample1,Sample,Field,Sediment,20MC,PFNA,1.62E+04,4.05,2.42E+05,4.05,1.0172,FALSE
20MC_GroupB_sediment_sample2,Sample,Field,Sediment,20MC,PFNA,6.93E+03,4.05,2.11E+05,4.05,1.0119,FALSE
20MC_GroupB_sediment_sample3,Sample,Field,Sediment,20MC,PFNA,7.65E+03,4.06,2.12E+05,4.06,1.0063,FALSE
20MC_GroupC_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFNA,8.90E+03,4.03,1.46E+05,4.04,1,FALSE
20MC_GroupC_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFNA,5.15E+05,4.03,1.81E+05,4.01,1,FALSE
20MC_GroupC_Crayfish_3_2xdilution,Sample,Pestle,Biota,20MC,PFNA,1.54E+04,4.01,8.74E+04,4.01,0.8155,FALSE
20MC_GroupC_Blender_Blank_2xdilution,Blank,Blender,Biota,20MC,PFNA,0.00E+00,0,7.56E+04,4.01,1,FALSE
