Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOS,1.06E+03,2.81,4.50E+02,2.76,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFOS,0.00E+00,0,5.19E+02,2.77,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFOS,1.35E+03,2.82,9.55E+02,2.78,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFOS,2.11E+03,2.77,1.45E+02,2.8,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFOS,2.15E+03,2.75,3.76E+02,2.78,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,0.00E+00,0,3.65E+02,2.81,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFOS,4.07E+03,2.78,1.47E+02,2.87,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFOS,3.71E+03,2.76,2.38E+01,2.85,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFOS,3.38E+03,2.78,8.39E+01,2.76,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOS,1.39E+02,2.68,1.16E+02,2.75,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOS,7.96E+02,2.75,1.04E+02,2.78,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFOS,5.51E+03,2.76,1.48E+02,2.73,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFOS,1.65E+03,2.75,7.79E+01,2.79,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFOS,0.00E+00,0,4.75E+02,2.77,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFOS,2.15E+03,2.77,1.44E+02,2.77,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFOS,2.21E+03,2.76,2.29E+02,2.76,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFOS,8.77E+02,2.81,5.15E+02,2.78,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,2.71E+02,2.79,1.20E+02,0,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFOS,8.87E+03,2.79,2.87E+02,2.77,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFOS,8.04E+01,2.8,3.86E+02,2.79,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Mortar,Biota,NIA,PFOS,3.40E+03,2.82,6.74E+01,2.84,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Mortar,Biota,NIA,PFOS,3.91E+02,2.76,1.66E+02,2.8,1.00E+00
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,0.00E+00,0,4.69E+02,2.77,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFOS,3.64E+03,2.77,1.81E+02,2.76,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFOS,1.15E+04,2.74,3.49E+02,2.75,1.00E+00
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFOS,1.35E+04,2.78,5.34E+02,2.77,1.00E+00
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFOS,1.29E+03,2.81,3.55E+02,2.83,1.00E+00
2022_NIABiota_GroupF_MortarBlank,Blank,Mortar,Biota,NIA,PFOS,0.00E+00,0,1.10E+02,2.82,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Mortar,Biota,NIA,PFOS,5.79E+02,2.75,2.00E+02,2.79,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Mortar,Biota,NIA,PFOS,1.44E+02,2.97,5.09E+01,2.76,1.00E+00
2022_NIABiota_GroupF_Snail2,Sample,Mortar,Biota,NIA,PFOS,5.34E+02,2.83,5.57E+01,2.76,1.00E+00
2021_20MCSediment_GroupG_Sample1,Sample,Field,Sediment,20MC,PFOS,10100.81557,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupG_Sample2,Sample,Field,Sediment,20MC,PFOS,4205.854218,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupG_Sample3,Sample,Field,Sediment,20MC,PFOS,4427.447996,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupG_Spike,Spike,Field,Sediment,20MC,PFOS,28583.63298,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupG_LabBlank,Blank,Lab,Sediment,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupG_FieldBlank,Blank,Field,Sediment,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample1,Sample,Field,Sediment,20MC,PFOS,4385.97334,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample2,Sample,Field,Sediment,20MC,PFOS,4511.513467,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_Sample3,Sample,Field,Sediment,20MC,PFOS,2438.195478,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_Spike,Spike,Field,Sediment,20MC,PFOS,10146.54112,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_LabBlank,Blank,Lab,Sediment,20MC,PFOS,107.085976,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupH_FieldBlank,Blank,Field,Sediment,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample1,Sample,Field,Sediment,20MC,PFOS,5533.749587,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample2,Sample,Field,Sediment,20MC,PFOS,5804.950177,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_Sample3,Sample,Field,Sediment,20MC,PFOS,4304.699955,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_Spike,Spike,Field,Sediment,20MC,PFOS,21907.35946,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_LabBlank,Blank,Lab,Sediment,20MC,PFOS,168.9488439,2.8,500,2.8,1.00E+00
2021_20MCSediment_GroupI_FieldBlank,Blank,Field,Sediment,20MC,PFOS,797.7807538,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_MortarSpike,Spike,Mortar,Biota,20MC,PFOS,20680.186,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_MortarBlank,Blank,Mortar,Biota,20MC,PFOS,78.84352552,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_BlenderBlank,Blank,Blender,Biota,20MC,PFOS,168.6018373,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_Crayfish1,Sample,Mortar,Biota,20MC,PFOS,26.47597802,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_Crayfish2,Sample,Mortar,Biota,20MC,PFOS,439.6734479,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_Catfish1,Sample,Blender,Biota,20MC,PFOS,466.4918579,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_Catfish2,Sample,Blender,Biota,20MC,PFOS,7308.70219,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupG_HardshellBug,Sample,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_MortarSpike,Spike,Mortar,Biota,20MC,PFOS,14257.53348,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_MortarBlank,Blank,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_BlenderBlank,Blank,Blender,Biota,20MC,PFOS,168.6018373,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_HardshellBug1,Sample,Mortar,Biota,20MC,PFOS,330.9298817,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_HardshellBug2,Sample,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_Crayfish1,Sample,Mortar,Biota,20MC,PFOS,579.1297324,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_Crayfish2,Sample,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupH_Catfish,Sample,Blender,Biota,20MC,PFOS,8835.405905,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_MortarSpike,Spike,Mortar,Biota,20MC,PFOS,14257.53348,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_MortarBlank,Blank,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_BlenderBlank,Blank,Blender,Biota,20MC,PFOS,168.6018373,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Crayfish,Sample,Mortar,Biota,20MC,PFOS,2867.299129,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Sunfish,Sample,Blender,Biota,20MC,PFOS,1225.487672,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Catfish,Sample,Blender,Biota,20MC,PFOS,9379.541318,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Nymph,Sample,Mortar,Biota,20MC,PFOS,3199.983987,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Slug,Sample,Blender,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Beetle1,Sample,Mortar,Biota,20MC,PFOS,1065.885712,2.8,500,2.8,1.00E+00
2021_20MCBiota_GroupI_Beetle2,Sample,Mortar,Biota,20MC,PFOS,0,2.8,500,2.8,1.00E+00
